"v_year","v_quarter","grade_2","home_ownership","term","V1"
2016,1,"1","MORTGAGE"," 36 months",15875.2950167058
2015,4,"2","MORTGAGE"," 36 months",13340.3884795713
2014,3,"4","RENT"," 36 months",10254.3896155371
2010,1,"3","OWN"," 36 months",12679.4117647059
2012,3,"4","RENT"," 36 months",12425.9135200974
2010,1,"1","MORTGAGE"," 36 months",8123.27981651376
2010,1,"4","RENT"," 36 months",10653.2303370787
2010,2,"2","RENT"," 36 months",9570.21683673469
2015,2,"1","MORTGAGE"," 36 months",14996.4265850946
2015,1,"1","MORTGAGE"," 60 months",20162.8428927681
2010,3,"2","RENT"," 60 months",11333.2167832168
2015,4,"1","MORTGAGE"," 36 months",15470.4413892909
2015,1,"4","RENT"," 36 months",11051.2119908204
2010,2,"4","RENT"," 60 months",10174.5535714286
2010,1,"1","RENT"," 36 months",7151.21212121212
2016,1,"2","RENT"," 60 months",19300.5912674348
2016,1,"2","MORTGAGE"," 60 months",22084.9719101124
2011,2,"1","MORTGAGE"," 36 months",7912.284144427
2014,4,"1","RENT"," 36 months",12497.4669867947
2015,3,"2","MORTGAGE"," 60 months",20953.0296179064
2015,2,"2","RENT"," 36 months",11332.4210206561
2015,1,"6","RENT"," 60 months",20215.1639344262
2010,1,"3","RENT"," 36 months",10041.4310954064
2010,3,"2","RENT"," 36 months",8314.82919254658
2015,2,"3","RENT"," 36 months",10499.1579426491
2013,4,"4","RENT"," 36 months",9982.3746701847
2015,1,"4","MORTGAGE"," 60 months",20994.9629080119
2015,2,"2","MORTGAGE"," 36 months",13714.6762548038
2010,1,"2","RENT"," 36 months",10173.0434782609
2010,2,"1","RENT"," 36 months",7545.28301886792
2015,1,"1","RENT"," 36 months",13041.7625681405
2014,4,"1","MORTGAGE"," 36 months",14980.0971217921
2010,3,"3","RENT"," 36 months",7596.16724738676
2016,1,"3","RENT"," 36 months",11798.5110006444
2010,3,"2","MORTGAGE"," 36 months",11356.1827956989
2010,1,"2","MORTGAGE"," 36 months",12742.2945205479
2011,1,"4","MORTGAGE"," 36 months",14819.6153846154
2015,1,"1","MORTGAGE"," 36 months",15467.6974279436
2015,4,"2","RENT"," 36 months",11175.52167228
2010,4,"3","RENT"," 36 months",7724.81060606061
2015,1,"3","MORTGAGE"," 36 months",13358.233484456
2015,3,"5","MORTGAGE"," 60 months",21883.0333154218
2010,4,"2","RENT"," 36 months",7683.70786516854
2015,3,"3","RENT"," 36 months",10856.2506481385
2015,4,"5","RENT"," 36 months",10300.1919795222
2016,1,"3","MORTGAGE"," 36 months",14981.9344982336
2015,1,"4","OWN"," 36 months",11979.1617122473
2010,1,"3","MORTGAGE"," 36 months",12026.0204081633
2015,1,"2","MORTGAGE"," 36 months",14074.1055282873
2010,2,"3","RENT"," 36 months",8594.67329545455
2010,1,"4","MORTGAGE"," 36 months",13944.5488721805
2014,4,"3","MORTGAGE"," 60 months",20747.5576092175
2013,1,"2","RENT"," 36 months",13237.3327464789
2010,3,"4","MORTGAGE"," 60 months",12076.2711864407
2010,2,"6","RENT"," 36 months",14300
2014,4,"4","MORTGAGE"," 36 months",14183.5518704204
2016,1,"2","MORTGAGE"," 36 months",14075.3787133583
2016,1,"4","MORTGAGE"," 36 months",15316.9053876478
2015,2,"1","RENT"," 36 months",12877.5992272568
2010,2,"4","RENT"," 36 months",9333.8785046729
2015,2,"3","MORTGAGE"," 36 months",13080.1209451902
2010,2,"1","MORTGAGE"," 36 months",7701.92953020134
2010,1,"5","RENT"," 36 months",11618.5185185185
2015,4,"1","RENT"," 36 months",12932.4187436234
2010,4,"5","RENT"," 60 months",11362.0098039216
2010,3,"1","RENT"," 36 months",7673.59022556391
2010,1,"6","MORTGAGE"," 36 months",19500
2010,4,"2","MORTGAGE"," 36 months",10017.7606177606
2014,3,"3","OWN"," 36 months",11721.2078651685
2015,1,"2","RENT"," 36 months",11468.9057710249
2010,2,"2","MORTGAGE"," 36 months",12542.4471299094
2011,3,"2","RENT"," 36 months",8423.77488514548
2010,3,"3","MORTGAGE"," 60 months",14015.4458598726
2010,1,"4","OWN"," 36 months",11912.5
2012,1,"1","MORTGAGE"," 36 months",11961.3636363636
2013,2,"1","MORTGAGE"," 36 months",15458.724631914
2012,2,"3","OWN"," 60 months",17633.75
2011,1,"1","RENT"," 36 months",7931.36363636364
2010,2,"2","RENT"," 60 months",9860.90909090909
2010,3,"1","MORTGAGE"," 36 months",8328.82947976879
2014,4,"2","RENT"," 36 months",10878.940926893
2011,4,"1","OWN"," 36 months",9366.89655172414
2010,1,"5","MORTGAGE"," 36 months",14887.7906976744
2010,2,"1","RENT"," 60 months",6721.875
2010,4,"1","MORTGAGE"," 36 months",9306
2014,3,"3","RENT"," 36 months",10864.104509974
2010,2,"5","RENT"," 60 months",8918.14516129032
2010,3,"2","MORTGAGE"," 60 months",11905.8080808081
2015,1,"3","RENT"," 60 months",18449.8776355422
2014,1,"4","RENT"," 36 months",10516.8421052632
2010,1,"6","RENT"," 36 months",14105
2010,1,"2","OWN"," 36 months",10566.3793103448
2010,1,"1","OWN"," 36 months",7578.63636363636
2010,2,"3","MORTGAGE"," 60 months",12425.9615384615
2010,3,"4","MORTGAGE"," 36 months",10290.306122449
2010,1,"5","OWN"," 36 months",14291.6666666667
2010,1,"6","OWN"," 36 months",15900
2011,1,"2","MORTGAGE"," 60 months",10698.828125
2011,1,"3","RENT"," 36 months",8321.74418604651
2010,3,"5","MORTGAGE"," 60 months",13361.5702479339
2012,3,"1","MORTGAGE"," 36 months",11366.1965282083
2013,1,"3","MORTGAGE"," 36 months",14973.7686773658
2015,2,"1","OWN"," 36 months",14144.2849254555
2010,4,"2","RENT"," 60 months",10996.0317460317
2010,2,"2","MORTGAGE"," 60 months",10893.5897435897
2010,2,"3","OWN"," 60 months",6236.11111111111
2016,1,"5","RENT"," 60 months",20082.1058315335
2010,3,"6","MORTGAGE"," 60 months",16235.8870967742
2010,2,"4","OWN"," 36 months",7613.04347826087
2010,2,"5","MORTGAGE"," 36 months",13964.8148148148
2010,2,"3","MORTGAGE"," 36 months",11407.6633165829
2010,3,"3","RENT"," 60 months",10852.9545454545
2010,4,"3","RENT"," 60 months",10270.8333333333
2010,2,"3","OWN"," 36 months",7949.32432432432
2010,2,"3","RENT"," 60 months",9260.64814814815
2010,2,"6","RENT"," 60 months",10180
2010,2,"4","MORTGAGE"," 36 months",12716.6666666667
2010,2,"2","OWN"," 36 months",8699.51923076923
2010,2,"1","OWN"," 36 months",6939.28571428571
2010,2,"5","RENT"," 36 months",9087.5
2012,2,"1","RENT"," 36 months",9845.19136408243
2010,2,"5","OWN"," 36 months",14625
2010,2,"6","OWN"," 36 months",14725
2010,2,"6","MORTGAGE"," 36 months",23130
2010,3,"4","RENT"," 60 months",10121.828358209
2012,1,"4","RENT"," 36 months",12506.1737804878
2010,3,"4","OWN"," 36 months",8555.55555555555
2012,1,"2","MORTGAGE"," 36 months",12644.8102016607
2010,3,"3","OWN"," 60 months",8409.375
2015,2,"4","RENT"," 60 months",18186.4538731024
2010,2,"4","MORTGAGE"," 60 months",11310.2941176471
2010,4,"1","RENT"," 36 months",7850.07042253521
2010,2,"1","MORTGAGE"," 60 months",7620.40816326531
2010,2,"5","MORTGAGE"," 60 months",11538.28125
2010,2,"6","MORTGAGE"," 60 months",13706
2010,3,"5","OWN"," 36 months",7875
2010,2,"6","OWN"," 60 months",10875
2014,3,"1","RENT"," 36 months",12813.8871522351
2010,2,"1","OWN"," 60 months",9712.5
2010,2,"4","OWN"," 60 months",8585
2010,2,"5","OWN"," 60 months",10242.5
2010,3,"4","RENT"," 36 months",9524.71590909091
2011,2,"4","RENT"," 36 months",8254.50581395349
2010,2,"2","OWN"," 60 months",9585
2010,3,"2","OWN"," 60 months",12071.2121212121
2010,3,"2","OWN"," 36 months",7415.42553191489
2010,3,"6","RENT"," 60 months",12827.6315789474
2010,4,"1","MORTGAGE"," 60 months",10180.412371134
2011,1,"2","RENT"," 60 months",9716.16379310345
2010,3,"3","MORTGAGE"," 36 months",8997.80701754386
2014,4,"5","RENT"," 60 months",18570.4358812382
2010,3,"5","RENT"," 60 months",10426.0964912281
2010,3,"4","OWN"," 60 months",13025
2010,3,"5","MORTGAGE"," 36 months",11557.4074074074
2010,4,"5","OWN"," 60 months",12328.5714285714
2010,3,"5","RENT"," 36 months",9806.25
2010,3,"3","OWN"," 36 months",5956.66666666667
2010,3,"6","OWN"," 36 months",15025
2010,3,"5","OWN"," 60 months",10092.8571428571
2010,3,"6","RENT"," 36 months",13787.5
2010,3,"1","MORTGAGE"," 60 months",5316.66666666667
2010,4,"3","MORTGAGE"," 36 months",8142.83536585366
2010,3,"6","MORTGAGE"," 36 months",21140
2010,3,"1","RENT"," 60 months",4020
2010,3,"1","OWN"," 36 months",7409.91379310345
2011,1,"1","MORTGAGE"," 36 months",8772.89156626506
2010,3,"6","OWN"," 60 months",21000
2015,2,"3","OWN"," 60 months",19983.2654249127
2011,2,"2","RENT"," 36 months",8393.22390572391
2013,2,"2","RENT"," 36 months",11854.5362023844
2015,4,"3","MORTGAGE"," 36 months",13494.6483493951
2010,4,"2","OWN"," 36 months",7772.09302325581
2011,1,"2","RENT"," 36 months",8773.31460674157
2011,3,"2","MORTGAGE"," 36 months",10261.247723133
2012,2,"2","MORTGAGE"," 36 months",11592.7952105698
2014,4,"1","MORTGAGE"," 60 months",19662.5512295082
2010,4,"3","OWN"," 60 months",10686.4583333333
2015,3,"1","OWN"," 36 months",15069.1649899396
2010,3,"1","OWN"," 60 months",3900
2011,1,"6","MORTGAGE"," 60 months",21040.7657657658
2015,2,"5","MORTGAGE"," 60 months",21189.7327044025
2011,1,"2","MORTGAGE"," 36 months",10846.0869565217
2014,3,"1","MORTGAGE"," 36 months",15661.614340263
2011,1,"3","MORTGAGE"," 36 months",11856.6901408451
2010,4,"4","RENT"," 60 months",9712.09016393443
2014,4,"2","OWN"," 36 months",11863.4172885572
2015,3,"6","RENT"," 60 months",19907.4097938144
2016,1,"4","RENT"," 60 months",19526.3683127572
2011,2,"3","RENT"," 60 months",12712.7777777778
2011,2,"5","RENT"," 60 months",13377.5147928994
2012,3,"2","MORTGAGE"," 36 months",11410.2947845805
2015,3,"4","MORTGAGE"," 36 months",14347.1597300337
2010,4,"2","MORTGAGE"," 60 months",12621.7592592593
2010,4,"3","MORTGAGE"," 60 months",12858.9147286822
2010,4,"4","RENT"," 36 months",10532.2463768116
2011,2,"2","MORTGAGE"," 60 months",14592.6315789474
2015,3,"3","MORTGAGE"," 36 months",13455.5505685218
2011,4,"3","RENT"," 36 months",9106.72853828306
2013,1,"2","OWN"," 36 months",13028.0612244898
2012,2,"2","RENT"," 36 months",10064.4563918757
2014,3,"3","MORTGAGE"," 36 months",13614.0008576329
2012,1,"3","OWN"," 36 months",11532.1428571429
2012,3,"1","RENT"," 36 months",9359.84913793103
2015,2,"1","MORTGAGE"," 60 months",19585.5263157895
2012,3,"2","MORTGAGE"," 60 months",21330
2014,2,"1","MORTGAGE"," 36 months",15550.5711880712
2011,2,"2","OWN"," 36 months",7947.14285714286
2015,3,"1","RENT"," 36 months",13042.923553719
2015,4,"3","RENT"," 36 months",10724.0664845173
2014,2,"3","MORTGAGE"," 36 months",13136.9874338624
2010,4,"6","RENT"," 60 months",14687.9310344828
2015,4,"5","RENT"," 60 months",19813.3345766505
2015,1,"2","RENT"," 60 months",19141.5117941387
2010,4,"1","OWN"," 60 months",9179.16666666667
2014,3,"4","RENT"," 60 months",18355.3776041667
2010,4,"4","MORTGAGE"," 36 months",12151.5306122449
2015,3,"2","RENT"," 36 months",11493.7295528899
2010,4,"6","MORTGAGE"," 60 months",16282.5342465753
2014,3,"3","MORTGAGE"," 60 months",20317.6430517711
2010,4,"4","MORTGAGE"," 60 months",11075.4545454545
2015,1,"4","MORTGAGE"," 36 months",14353.7439193885
2012,3,"3","RENT"," 36 months",10231.3437312537
2013,3,"1","MORTGAGE"," 36 months",15060.3796296296
2010,4,"1","OWN"," 36 months",6912.04819277108
2015,4,"1","MORTGAGE"," 60 months",19510.1463104326
2011,1,"6","RENT"," 60 months",15925.2906976744
2010,4,"5","MORTGAGE"," 60 months",12984.3220338983
2010,4,"5","RENT"," 36 months",10192.3611111111
2010,4,"4","OWN"," 36 months",10563.6363636364
2010,4,"5","MORTGAGE"," 36 months",15043.75
2014,3,"2","MORTGAGE"," 60 months",19961.3288288288
2010,4,"6","OWN"," 60 months",8879.54545454545
2014,4,"3","RENT"," 36 months",10246.4116208831
2010,4,"6","MORTGAGE"," 36 months",18963.4615384615
2010,4,"2","OWN"," 60 months",9742.85714285714
2010,4,"1","RENT"," 60 months",8635.36585365854
2010,4,"3","OWN"," 36 months",8127.63157894737
2010,4,"6","RENT"," 36 months",16153.5714285714
2015,2,"4","MORTGAGE"," 60 months",20785.1736420303
2013,4,"1","MORTGAGE"," 36 months",15585.9712671906
2010,4,"4","OWN"," 60 months",9272.22222222222
2011,2,"4","MORTGAGE"," 60 months",16054.4471153846
2013,4,"3","RENT"," 36 months",11023.9809580482
2010,4,"5","OWN"," 36 months",7878.57142857143
2015,3,"3","OWN"," 36 months",12205.2884615385
2015,1,"3","OWN"," 60 months",19588.3241758242
2015,4,"5","MORTGAGE"," 36 months",14258.8422391858
2011,1,"4","RENT"," 36 months",11242.2101449275
2012,4,"5","MORTGAGE"," 60 months",25150.983436853
2015,1,"3","MORTGAGE"," 60 months",21149.0782466202
2012,4,"3","MORTGAGE"," 60 months",22257.3956442831
2014,3,"1","OWN"," 36 months",13884.379217274
2011,1,"1","OWN"," 36 months",8182.22891566265
2011,2,"6","MORTGAGE"," 60 months",21293.0555555556
2011,2,"3","MORTGAGE"," 60 months",16805.0193050193
2016,1,"1","MORTGAGE"," 60 months",20544.75019516
2015,4,"5","MORTGAGE"," 60 months",22103.6862527716
2014,4,"1","OWN"," 36 months",13614.6676852559
2014,1,"1","MORTGAGE"," 36 months",15930.8793324775
2012,4,"1","MORTGAGE"," 36 months",13183.2605133807
2015,3,"3","MORTGAGE"," 60 months",20929.087540528
2014,4,"4","MORTGAGE"," 60 months",20600.7536882617
2014,3,"2","MORTGAGE"," 36 months",13996.6959480848
2015,3,"2","MORTGAGE"," 36 months",13824.3291432647
2011,1,"5","MORTGAGE"," 60 months",20111.641221374
2016,1,"5","MORTGAGE"," 60 months",22328.0283710551
2014,4,"3","RENT"," 60 months",17893.2971800434
2013,4,"2","MORTGAGE"," 36 months",13990.3613122506
2011,1,"3","MORTGAGE"," 60 months",14505.2259887006
2011,4,"2","MORTGAGE"," 36 months",10967.0754716981
2015,3,"6","MORTGAGE"," 60 months",23029.7250859107
2011,1,"2","OWN"," 60 months",10041.2162162162
2011,1,"5","RENT"," 60 months",15090.9259259259
2015,1,"5","MORTGAGE"," 60 months",21414.6609833466
2011,2,"2","MORTGAGE"," 36 months",10484.00243309
2011,1,"4","OWN"," 60 months",15184.2105263158
2016,1,"6","RENT"," 60 months",20924.2418498863
2014,3,"6","MORTGAGE"," 60 months",21371.0762331839
2011,1,"4","RENT"," 60 months",12343.537414966
2011,1,"4","MORTGAGE"," 60 months",15783.8652482269
2013,3,"3","RENT"," 36 months",10747.9755178908
2011,4,"1","MORTGAGE"," 36 months",10828.0696576151
2011,1,"3","RENT"," 60 months",10036.974789916
2011,2,"6","OWN"," 60 months",16045.3125
2012,4,"2","MORTGAGE"," 36 months",12455.8838383838
2014,4,"3","MORTGAGE"," 36 months",12879.8854625551
2011,1,"5","OWN"," 60 months",13897.2222222222
2014,4,"2","MORTGAGE"," 36 months",13792.879245283
2011,1,"5","MORTGAGE"," 36 months",17101.0416666667
2011,1,"3","OWN"," 60 months",10511
2011,1,"5","RENT"," 36 months",11287.5
2013,2,"4","RENT"," 36 months",9618.14839572192
2011,1,"6","OWN"," 60 months",17329.1666666667
2011,1,"2","OWN"," 36 months",8996.69811320755
2011,1,"3","OWN"," 36 months",9068.47826086957
2011,1,"6","MORTGAGE"," 36 months",19641.6666666667
2014,2,"2","MORTGAGE"," 36 months",13836.9682112921
2016,1,"1","RENT"," 36 months",13235.0013415616
2014,3,"4","MORTGAGE"," 60 months",21657.2372159091
2015,1,"3","RENT"," 36 months",10699.0406680265
2011,1,"4","OWN"," 36 months",9777.08333333333
2014,4,"4","RENT"," 60 months",18141.1070780399
2015,2,"3","RENT"," 60 months",18106.406455863
2011,1,"6","RENT"," 36 months",17891.6666666667
2015,3,"1","MORTGAGE"," 36 months",15472.0973594033
2011,1,"6","OWN"," 36 months",10750
2011,1,"1","MORTGAGE"," 60 months",6150
2011,1,"1","RENT"," 60 months",5187.5
2014,4,"5","MORTGAGE"," 36 months",14959.7159940209
2014,4,"5","OWN"," 60 months",19295.0483091787
2011,3,"3","RENT"," 36 months",7370.51282051282
2015,3,"5","RENT"," 60 months",19080.9284932506
2011,1,"1","OWN"," 60 months",7500
2013,2,"1","RENT"," 36 months",13784.6635883905
2014,3,"6","RENT"," 60 months",18664.6634615385
2015,1,"5","RENT"," 60 months",18716.9069296915
2011,1,"5","OWN"," 36 months",9550
2013,3,"5","RENT"," 36 months",9912.02163061564
2011,2,"4","OWN"," 60 months",12667.5675675676
2015,4,"3","MORTGAGE"," 60 months",20477.3803695998
2013,2,"3","OWN"," 36 months",11158.0223880597
2014,1,"4","RENT"," 60 months",18228.1700288184
2011,3,"4","MORTGAGE"," 60 months",17251.4864864865
2014,1,"2","MORTGAGE"," 36 months",14324.9604930468
2013,4,"3","MORTGAGE"," 60 months",19441.3834951456
2011,2,"6","RENT"," 36 months",10252.0833333333
2012,2,"1","MORTGAGE"," 36 months",11362.3506825939
2012,1,"1","OWN"," 36 months",11054.8076923077
2011,2,"4","RENT"," 60 months",11551.7515923567
2015,2,"2","OWN"," 60 months",20612.5601926164
2012,4,"1","RENT"," 36 months",10620.7859358842
2012,3,"2","OWN"," 36 months",9848.5632183908
2012,1,"1","RENT"," 36 months",10373.9773716275
2015,4,"4","OWN"," 36 months",11993.7720070423
2014,2,"5","MORTGAGE"," 60 months",22376.7200630252
2011,2,"4","MORTGAGE"," 36 months",13007.1759259259
2011,2,"1","RENT"," 36 months",7321.8947368421
2011,3,"6","RENT"," 60 months",17283.1325301205
2011,4,"1","RENT"," 36 months",9473.88809182209
2011,2,"3","RENT"," 36 months",7246.84115523466
2011,2,"1","OWN"," 60 months",6800
2011,3,"3","MORTGAGE"," 36 months",10569.0376569038
2011,2,"2","OWN"," 60 months",12631.4516129032
2011,3,"5","MORTGAGE"," 60 months",20500.3989361702
2011,2,"5","MORTGAGE"," 36 months",16733.3333333333
2011,2,"1","OWN"," 36 months",7580.52884615385
2015,4,"3","OWN"," 60 months",19390.1473612063
2016,1,"3","MORTGAGE"," 60 months",20975.4702627939
2011,2,"5","MORTGAGE"," 60 months",17964.3229166667
2014,3,"5","MORTGAGE"," 60 months",21779.4427324088
2011,3,"2","OWN"," 36 months",9600.26041666667
2011,2,"3","MORTGAGE"," 36 months",9311.94444444445
2014,4,"5","MORTGAGE"," 60 months",21229.2691579943
2011,2,"6","MORTGAGE"," 36 months",17133.3333333333
2013,1,"4","MORTGAGE"," 36 months",11922.5177304965
2011,2,"6","RENT"," 60 months",15340.5913978495
2014,4,"4","RENT"," 36 months",10526.4766993173
2011,2,"1","MORTGAGE"," 60 months",6012.5
2013,3,"2","RENT"," 36 months",11491.3519005498
2011,2,"2","RENT"," 60 months",12437.5
2011,2,"5","OWN"," 60 months",12588.75
2015,4,"2","MORTGAGE"," 60 months",20845.7207207207
2011,2,"3","OWN"," 36 months",6851.97368421053
2011,2,"3","OWN"," 60 months",14039.7058823529
2015,3,"4","OWN"," 36 months",12197.1098265896
2013,1,"3","RENT"," 36 months",11825.2817195326
2011,2,"1","RENT"," 60 months",8071.42857142857
2011,4,"2","RENT"," 36 months",9349.54022988506
2011,2,"5","RENT"," 36 months",11543.5483870968
2012,3,"5","RENT"," 36 months",19389.9038461538
2012,1,"6","MORTGAGE"," 60 months",26448.2456140351
2012,4,"3","RENT"," 60 months",20308.375
2015,2,"4","MORTGAGE"," 36 months",14309.305510796
2011,2,"4","OWN"," 36 months",11351.6666666667
2015,2,"5","OWN"," 60 months",19757.3855243722
2012,2,"3","MORTGAGE"," 36 months",12787.8947368421
2011,3,"1","RENT"," 36 months",8206.52350081037
2012,1,"3","MORTGAGE"," 36 months",13150.0651041667
2014,3,"2","OWN"," 36 months",12238.2774140753
2015,4,"4","RENT"," 36 months",10666.5914083476
2012,4,"3","OWN"," 36 months",11322.7635782748
2015,1,"2","MORTGAGE"," 60 months",21121.2090752441
2015,2,"3","MORTGAGE"," 60 months",20873.4322664682
2014,3,"2","RENT"," 36 months",11291.6385584946
2011,2,"5","OWN"," 36 months",11100
2014,1,"3","MORTGAGE"," 36 months",14507.2478750287
2011,2,"6","OWN"," 36 months",35000
2011,3,"3","RENT"," 60 months",14495.3125
2014,4,"6","MORTGAGE"," 60 months",22530.4560260586
2015,2,"1","RENT"," 60 months",18680.5785123967
2011,3,"4","RENT"," 60 months",14177.4425287356
2015,1,"6","MORTGAGE"," 60 months",23034.9907493062
2015,4,"3","RENT"," 60 months",18140.7740585774
2015,1,"2","OWN"," 36 months",11821.3235294118
2013,2,"3","MORTGAGE"," 60 months",20913.0881624567
2014,4,"3","OWN"," 36 months",10886.9673768309
2016,1,"6","MORTGAGE"," 60 months",22863.4383378016
2011,3,"1","MORTGAGE"," 36 months",9608.26470588235
2014,4,"4","OWN"," 36 months",11519.3396226415
2016,1,"4","MORTGAGE"," 60 months",21919.5218323065
2015,1,"6","MORTGAGE"," 36 months",13816.5492957746
2013,4,"6","RENT"," 60 months",18596.7411545624
2011,3,"3","MORTGAGE"," 60 months",18207.2097378277
2014,3,"5","OWN"," 60 months",19919.4262295082
2013,2,"4","MORTGAGE"," 60 months",24420.2142857143
2013,2,"1","MORTGAGE"," 60 months",19225.7246376812
2013,1,"4","RENT"," 36 months",10099.6828752643
2015,2,"3","OWN"," 36 months",11550.6854630109
2011,3,"5","RENT"," 60 months",16824
2011,3,"4","RENT"," 36 months",7959.92990654206
2013,2,"3","RENT"," 36 months",10715.0899280576
2016,1,"1","OWN"," 36 months",14339.7063442211
2011,3,"6","MORTGAGE"," 60 months",23074.2105263158
2015,1,"5","OWN"," 36 months",12984.0252707581
2015,3,"3","RENT"," 60 months",18371.4559115396
2011,3,"1","OWN"," 36 months",8705.53435114504
2013,2,"2","MORTGAGE"," 60 months",21125.7851239669
2015,2,"2","OWN"," 36 months",12030.2061586639
2012,3,"2","RENT"," 36 months",9809.31576952237
2015,2,"2","MORTGAGE"," 60 months",21177.4213836478
2015,2,"4","RENT"," 36 months",10733.9465293108
2013,4,"6","OWN"," 60 months",19649.4230769231
2011,3,"2","MORTGAGE"," 60 months",16860.3448275862
2012,1,"3","MORTGAGE"," 60 months",20890.2234636872
2011,3,"2","RENT"," 60 months",14005.1324503311
2014,4,"3","OWN"," 60 months",19078.9855072464
2012,3,"1","MORTGAGE"," 60 months",12106.4285714286
2014,1,"1","RENT"," 36 months",13274.2134062927
2013,1,"3","MORTGAGE"," 60 months",22394.8871650212
2011,4,"2","OWN"," 60 months",19089.6739130435
2011,3,"5","RENT"," 36 months",10925.5555555556
2012,2,"2","RENT"," 60 months",18212.8571428571
2012,1,"3","RENT"," 36 months",10992.1148255814
2011,3,"1","OWN"," 60 months",9566.66666666667
