"v_year","v_quarter","grade_2","home_ownership","term","V1"
2011,3,"3","OWN"," 60 months",14324
2014,2,"4","MORTGAGE"," 36 months",11975.9215376514
2011,3,"3","OWN"," 36 months",6327.94117647059
2011,4,"2","MORTGAGE"," 60 months",20263.2789317507
2011,3,"5","OWN"," 60 months",15303.3333333333
2013,3,"4","MORTGAGE"," 36 months",11699.2498369211
2011,3,"5","MORTGAGE"," 36 months",15303.7037037037
2011,3,"2","OWN"," 60 months",15564.5348837209
2011,3,"5","OWN"," 36 months",16800
2011,3,"4","OWN"," 60 months",12318.75
2014,2,"4","MORTGAGE"," 60 months",21658.3563918096
2011,3,"4","MORTGAGE"," 36 months",11717.3913043478
2013,3,"3","MORTGAGE"," 36 months",13555.6701030928
2011,3,"4","OWN"," 36 months",7977
2012,1,"5","MORTGAGE"," 60 months",22711.3095238095
2011,3,"6","OWN"," 60 months",15579.5454545455
2011,3,"1","MORTGAGE"," 60 months",11250.6097560976
2011,3,"6","RENT"," 36 months",11305.5555555556
2012,2,"3","RENT"," 36 months",10181.736381323
2013,4,"2","MORTGAGE"," 60 months",19205.244941427
2016,1,"2","OWN"," 36 months",12638.5075006356
2013,1,"2","MORTGAGE"," 36 months",14426.8877057115
2013,1,"1","MORTGAGE"," 36 months",17187.9649196957
2011,4,"3","MORTGAGE"," 60 months",19024.5173745174
2014,3,"3","RENT"," 60 months",17574.6505717916
2012,1,"2","MORTGAGE"," 60 months",21864.7277227723
2011,4,"6","RENT"," 60 months",22273.9795918367
2014,2,"3","MORTGAGE"," 60 months",20258.4350170261
2011,3,"6","MORTGAGE"," 36 months",10257.1428571429
2014,4,"2","MORTGAGE"," 60 months",21348.8759566327
2016,1,"2","RENT"," 36 months",11552.4501631026
2011,4,"5","MORTGAGE"," 60 months",22552.8037383178
2012,4,"2","RENT"," 36 months",10420.4851752022
2011,4,"3","MORTGAGE"," 36 months",10885.3682170543
2012,1,"2","RENT"," 60 months",18479.8780487805
2011,4,"2","RENT"," 60 months",18640.7352941176
2011,4,"4","RENT"," 60 months",15326.8691588785
2012,1,"2","RENT"," 36 months",10876.25
2013,1,"1","OWN"," 36 months",15945.2922077922
2011,4,"4","RENT"," 36 months",10239.2045454545
2011,4,"5","MORTGAGE"," 36 months",17844.4444444444
2011,4,"5","RENT"," 60 months",16581
2011,3,"1","RENT"," 60 months",13840
2011,4,"1","MORTGAGE"," 60 months",11912.5
2013,2,"2","MORTGAGE"," 36 months",13246.7393540424
2012,3,"4","MORTGAGE"," 60 months",19324.2424242424
2011,4,"3","RENT"," 60 months",16713.125
2011,4,"4","MORTGAGE"," 60 months",18691.5422885572
2011,4,"4","MORTGAGE"," 36 months",12855.5803571429
2011,4,"6","MORTGAGE"," 60 months",24489.9621212121
2013,3,"2","MORTGAGE"," 60 months",20224.5731056563
2011,4,"5","OWN"," 60 months",20811.1111111111
2011,4,"2","OWN"," 36 months",10325.7075471698
2011,4,"3","OWN"," 60 months",15974.2647058824
2011,4,"1","RENT"," 60 months",10911.6666666667
2011,4,"4","OWN"," 60 months",14768.5483870968
2011,4,"3","OWN"," 36 months",8344.44444444445
2011,4,"4","OWN"," 36 months",11666.6666666667
2011,4,"5","RENT"," 36 months",11411.4285714286
2013,4,"2","RENT"," 36 months",11711.517501572
2012,2,"6","RENT"," 60 months",25598.4
2011,4,"1","OWN"," 60 months",10000
2013,2,"2","OWN"," 36 months",12080.0699300699
2011,4,"6","MORTGAGE"," 36 months",5600
2011,4,"5","OWN"," 36 months",12305
2011,4,"6","RENT"," 36 months",6600
2013,2,"4","MORTGAGE"," 36 months",11316.795965865
2013,1,"1","RENT"," 36 months",16361.9857594937
2014,2,"1","RENT"," 36 months",12967.3553719008
2011,4,"6","OWN"," 60 months",18840.625
2013,1,"5","RENT"," 36 months",8302.39361702128
2012,1,"6","RENT"," 60 months",23641.4179104478
2013,4,"4","MORTGAGE"," 60 months",21348.1132075472
2012,1,"4","MORTGAGE"," 60 months",20150.78125
2012,2,"3","MORTGAGE"," 60 months",20563.8274336283
2012,1,"5","RENT"," 60 months",19483.5616438356
2012,1,"4","MORTGAGE"," 36 months",16133.9686098655
2012,1,"2","OWN"," 36 months",11015.1098901099
2012,1,"4","RENT"," 60 months",17469.5
2012,3,"5","MORTGAGE"," 36 months",22022.8021978022
2012,4,"3","MORTGAGE"," 36 months",13261.8815104167
2012,1,"3","RENT"," 60 months",17671.5725806452
2012,2,"1","OWN"," 36 months",10703.855721393
2012,1,"5","OWN"," 60 months",21889.5161290323
2012,1,"2","OWN"," 60 months",18261.1111111111
2012,1,"1","MORTGAGE"," 60 months",8898.21428571429
2014,1,"3","MORTGAGE"," 60 months",19648.9551989301
2012,1,"5","OWN"," 36 months",16561.1111111111
2012,3,"5","RENT"," 60 months",20760.7723577236
2012,1,"5","RENT"," 36 months",21606.0606060606
2012,4,"6","MORTGAGE"," 60 months",26087.619047619
2012,1,"4","OWN"," 60 months",18845.3125
2012,1,"4","OWN"," 36 months",13000.4464285714
2012,1,"6","MORTGAGE"," 36 months",24233.3333333333
2012,2,"5","OWN"," 60 months",19941.6666666667
2012,1,"5","MORTGAGE"," 36 months",26586.2244897959
2013,3,"2","MORTGAGE"," 36 months",12993.2873851295
2012,1,"3","OWN"," 60 months",17205.2083333333
2012,1,"1","RENT"," 60 months",10277.7777777778
2012,3,"4","OWN"," 36 months",13151.1029411765
2012,2,"4","RENT"," 36 months",12598.2723577236
2012,1,"1","OWN"," 60 months",8300
2012,1,"6","RENT"," 36 months",18030
2012,1,"6","OWN"," 60 months",22566.6666666667
2012,3,"5","MORTGAGE"," 60 months",23275
2012,3,"4","RENT"," 60 months",17569.6428571429
2012,3,"3","MORTGAGE"," 60 months",19696.3141025641
2012,2,"2","OWN"," 36 months",10951.7857142857
2012,4,"2","OWN"," 36 months",10359.2278719397
2012,2,"4","MORTGAGE"," 36 months",16300.9831460674
2012,2,"4","RENT"," 60 months",17812.3511904762
2012,2,"5","MORTGAGE"," 60 months",23581.25
2012,4,"3","RENT"," 36 months",11084.2171016102
2013,4,"3","MORTGAGE"," 36 months",13896.6806479607
2014,3,"5","RENT"," 60 months",19423.7532808399
2012,2,"2","MORTGAGE"," 60 months",20772.1398305085
2012,3,"1","RENT"," 60 months",8595.45454545455
2013,1,"2","MORTGAGE"," 60 months",22377.392120075
2012,1,"6","OWN"," 36 months",18975
2012,2,"4","MORTGAGE"," 60 months",18953.3333333333
2012,2,"5","MORTGAGE"," 36 months",22836.0576923077
2012,2,"3","RENT"," 60 months",15940.6028368794
2012,3,"4","MORTGAGE"," 36 months",15796.4046822742
2012,3,"3","MORTGAGE"," 36 months",12331.1228482003
2013,3,"5","MORTGAGE"," 60 months",23234.4149459194
2012,4,"5","OWN"," 60 months",22612.7192982456
2015,2,"2","RENT"," 60 months",18904.3241511851
2012,2,"3","OWN"," 36 months",10551.5202702703
2012,4,"4","RENT"," 60 months",19195.867768595
2015,1,"1","OWN"," 36 months",14309.2013888889
2012,2,"4","OWN"," 36 months",13143.1818181818
2012,2,"5","RENT"," 36 months",19612.3595505618
2012,2,"5","RENT"," 60 months",20378.8978494624
2012,2,"6","MORTGAGE"," 60 months",27469.0476190476
2013,4,"1","RENT"," 36 months",13089.8704663212
2012,3,"1","OWN"," 36 months",9228.7213740458
2012,2,"2","OWN"," 60 months",20942.5925925926
2012,2,"6","OWN"," 60 months",21578.125
2012,2,"1","MORTGAGE"," 60 months",13116.6666666667
2012,2,"6","RENT"," 36 months",22026.7857142857
2012,3,"3","RENT"," 60 months",15553.5433070866
2012,2,"4","OWN"," 60 months",18219.7916666667
2013,3,"4","MORTGAGE"," 60 months",22617.9245283019
2012,2,"6","MORTGAGE"," 36 months",22805
2012,2,"1","RENT"," 60 months",13480
2012,2,"1","OWN"," 60 months",9100
2012,4,"5","RENT"," 60 months",21870.1981707317
2013,2,"5","MORTGAGE"," 60 months",23958.4266169154
2014,2,"2","MORTGAGE"," 60 months",19251.2702078522
2012,4,"4","MORTGAGE"," 36 months",15363.7096774194
2015,2,"6","RENT"," 60 months",20000.4373177843
2014,3,"4","OWN"," 60 months",19979.6040515654
2013,3,"1","RENT"," 60 months",17376.9230769231
2012,3,"6","MORTGAGE"," 60 months",26204.012345679
2012,3,"6","RENT"," 60 months",23978.5947712418
2012,3,"5","OWN"," 60 months",23007.9268292683
2012,4,"6","RENT"," 36 months",17061.3636363636
2012,3,"2","RENT"," 60 months",17577.9816513761
2012,3,"3","OWN"," 36 months",10140.8239700375
2014,1,"5","MORTGAGE"," 60 months",21841.5061633282
2012,2,"5","OWN"," 36 months",19192.8571428571
2015,2,"4","OWN"," 60 months",18926.3260530421
2014,2,"2","RENT"," 36 months",11242.9003153469
2013,2,"3","MORTGAGE"," 36 months",12986.4411882778
2014,3,"2","RENT"," 60 months",17414.1949152542
2013,3,"3","MORTGAGE"," 60 months",19904.2656970557
2012,4,"5","MORTGAGE"," 36 months",20732.3643410853
2012,4,"2","MORTGAGE"," 60 months",21236.5013774105
2013,1,"4","MORTGAGE"," 60 months",26236.8811881188
2012,4,"2","RENT"," 60 months",19187.2340425532
2013,1,"3","RENT"," 60 months",20519.4923371647
2012,3,"5","OWN"," 36 months",25479.1666666667
2012,3,"6","MORTGAGE"," 36 months",24276.3157894737
2012,4,"4","MORTGAGE"," 60 months",21580.0702811245
2012,2,"6","OWN"," 36 months",21362.5
2012,4,"4","OWN"," 36 months",13217.7777777778
2014,2,"3","RENT"," 60 months",17313.3651944628
2012,3,"6","OWN"," 60 months",25437.0689655172
2012,3,"4","OWN"," 60 months",15975.78125
2012,3,"6","RENT"," 36 months",22446.1538461538
2012,3,"2","OWN"," 60 months",18641.1290322581
2012,4,"6","RENT"," 60 months",23665.0523560209
2012,3,"1","OWN"," 60 months",13191.6666666667
2012,3,"3","OWN"," 60 months",17876.0416666667
2012,4,"1","OWN"," 36 months",11014.0330188679
2013,1,"4","RENT"," 60 months",23999.0277777778
2013,1,"3","OWN"," 36 months",12458.0263157895
2012,4,"5","RENT"," 36 months",16120.6325301205
2013,4,"1","OWN"," 36 months",14155.9130434783
2012,4,"6","MORTGAGE"," 36 months",18893.4210526316
2014,3,"6","OWN"," 60 months",19572.0760233918
2012,3,"6","OWN"," 36 months",30000
2013,2,"4","RENT"," 60 months",21116.2454873646
2013,3,"6","RENT"," 60 months",19352.3039889959
2012,4,"4","RENT"," 36 months",12643.1334622824
2013,4,"4","OWN"," 36 months",10447.2440944882
2013,3,"3","RENT"," 60 months",17643.8092979127
2013,1,"2","RENT"," 60 months",22126.7441860465
2012,4,"3","OWN"," 60 months",19194.8863636364
2013,2,"5","RENT"," 36 months",8672.13740458015
2014,1,"4","MORTGAGE"," 60 months",21172.9315902579
2014,1,"2","RENT"," 36 months",11636.040433925
2012,4,"2","OWN"," 60 months",19957.1428571429
2012,4,"5","OWN"," 36 months",19146.4285714286
2013,3,"5","OWN"," 60 months",20588.1048387097
2015,3,"5","RENT"," 36 months",10489.74
2013,1,"5","RENT"," 60 months",22904.3408360129
2014,1,"3","RENT"," 36 months",11436.8881562262
2012,4,"4","OWN"," 60 months",21725.9433962264
2013,3,"2","RENT"," 60 months",18798.4589041096
2012,4,"6","OWN"," 60 months",25892.5
2013,2,"1","OWN"," 36 months",14909.5833333333
2012,4,"1","MORTGAGE"," 60 months",16620.2702702703
2014,1,"4","OWN"," 36 months",11479.3292682927
2012,4,"1","RENT"," 60 months",13865
2013,1,"3","OWN"," 60 months",21276.8867924528
2013,3,"1","RENT"," 36 months",13101.8920595533
2013,1,"6","MORTGAGE"," 60 months",22821.2441314554
2013,1,"1","MORTGAGE"," 60 months",20247.3282442748
2015,2,"6","MORTGAGE"," 60 months",23158.3394833948
2012,4,"1","OWN"," 60 months",14525
2015,2,"5","RENT"," 60 months",18841.1036508603
2013,2,"1","RENT"," 60 months",19910.4166666667
2013,1,"5","MORTGAGE"," 60 months",25255.1165803109
2013,3,"2","OWN"," 36 months",11635.2045908184
2013,3,"4","RENT"," 60 months",18352.4104683196
2012,4,"6","OWN"," 36 months",7500
2013,2,"3","RENT"," 60 months",19200.2994011976
2013,3,"1","MORTGAGE"," 60 months",19032.2580645161
2014,2,"2","OWN"," 36 months",12495.8075734158
2014,3,"5","MORTGAGE"," 36 months",11815.587529976
2013,3,"5","RENT"," 60 months",20039.6166134185
2014,1,"2","OWN"," 36 months",12348.7936772047
2013,2,"6","RENT"," 60 months",20580.0255536627
2013,2,"5","RENT"," 60 months",21204.6489563567
2015,4,"2","OWN"," 36 months",12063.4312622997
2013,1,"6","RENT"," 60 months",20191.9087136929
2014,1,"1","OWN"," 36 months",14041.9463087248
2013,2,"2","RENT"," 60 months",20116.25
2013,1,"4","OWN"," 36 months",10622.3004694836
2013,1,"1","RENT"," 60 months",21300
2013,1,"2","OWN"," 60 months",21182.1428571429
2013,4,"3","RENT"," 60 months",16764.8444252377
2015,3,"2","RENT"," 60 months",18482.5676526117
2013,1,"4","OWN"," 60 months",23607.6923076923
2013,4,"4","RENT"," 60 months",18231.0638297872
2013,4,"5","MORTGAGE"," 60 months",22504.0952380952
2014,2,"1","OWN"," 36 months",14430.0154320988
2013,1,"6","OWN"," 60 months",22317.6136363636
2013,2,"3","OWN"," 60 months",19449.3670886076
2015,4,"1","OWN"," 36 months",14465.4718875502
2013,2,"6","MORTGAGE"," 60 months",23648.031496063
2013,1,"5","OWN"," 36 months",8079.6875
2013,1,"6","RENT"," 36 months",3430.5
2013,1,"5","MORTGAGE"," 36 months",11798.5507246377
2014,3,"4","MORTGAGE"," 36 months",12871.8965517241
2013,1,"5","OWN"," 60 months",23401.8518518519
2013,4,"6","MORTGAGE"," 60 months",22451.4312977099
2013,1,"1","OWN"," 60 months",21755
2013,3,"4","RENT"," 36 months",9380.35714285714
2014,3,"5","RENT"," 36 months",9393.36419753086
2014,1,"4","MORTGAGE"," 36 months",13444.1417691857
2013,2,"2","OWN"," 60 months",21550.5813953488
2013,1,"6","MORTGAGE"," 36 months",9412.5
2014,1,"2","MORTGAGE"," 60 months",19055.3656597774
2013,3,"1","OWN"," 36 months",13994.8697068404
2014,2,"3","RENT"," 36 months",10614.065469905
2013,2,"4","OWN"," 36 months",9692.28650137741
2013,2,"5","OWN"," 36 months",8581.61764705882
2013,2,"5","OWN"," 60 months",20997.4537037037
2013,4,"5","RENT"," 60 months",19153.6259541985
2013,4,"2","OWN"," 36 months",12193.3003597122
2014,2,"2","RENT"," 60 months",16643.3274021352
2014,1,"2","RENT"," 60 months",15921.3768115942
2013,2,"6","RENT"," 36 months",8249.01315789474
2013,2,"5","MORTGAGE"," 36 months",12741.9950738916
2013,3,"6","MORTGAGE"," 60 months",22640.4276315789
2013,4,"2","RENT"," 60 months",17107.123655914
2013,3,"4","OWN"," 36 months",9933.84279475982
2013,2,"6","MORTGAGE"," 36 months",18556.5217391304
2013,3,"3","OWN"," 36 months",11336.0738255034
2013,1,"6","OWN"," 36 months",3000
2013,3,"3","OWN"," 60 months",17388.2154882155
2014,2,"4","RENT"," 36 months",9562.6926369863
2014,1,"5","RENT"," 36 months",9490.08130081301
2013,2,"6","OWN"," 36 months",13390.3846153846
2013,2,"6","OWN"," 60 months",21848.5714285714
2014,2,"5","RENT"," 60 months",19220.8180147059
2013,2,"4","OWN"," 60 months",22330.2816901408
2014,2,"6","RENT"," 60 months",18145.9109730849
2013,4,"3","OWN"," 36 months",11480.3732303732
2013,2,"1","OWN"," 60 months",21017.5
2013,4,"1","MORTGAGE"," 60 months",18705.5555555556
2014,1,"5","RENT"," 60 months",19236.3970588235
2013,3,"5","MORTGAGE"," 36 months",12559.4076655052
2013,4,"5","OWN"," 60 months",20001.9696969697
2014,3,"3","OWN"," 60 months",19385.8836206897
2014,3,"6","MORTGAGE"," 36 months",10435.0746268657
2014,1,"3","RENT"," 60 months",16664.8579321231
2014,2,"4","RENT"," 60 months",18527.8709349593
2014,2,"4","OWN"," 60 months",19867.6691729323
2015,2,"5","MORTGAGE"," 36 months",16710.1228632479
2013,4,"2","OWN"," 60 months",18323.1308411215
2014,4,"6","RENT"," 60 months",19322.9294478528
2016,1,"5","RENT"," 36 months",11175.1321197886
2013,4,"4","MORTGAGE"," 36 months",13056.7484662577
2013,3,"6","RENT"," 36 months",7633.75
2014,2,"2","OWN"," 60 months",18526.5
2014,4,"2","OWN"," 60 months",20080.9382422803
2014,4,"2","RENT"," 60 months",18631.40969163
2013,3,"4","OWN"," 60 months",20556.6666666667
2013,3,"6","OWN"," 60 months",18786.6666666667
2014,1,"5","MORTGAGE"," 36 months",12036.170212766
2013,3,"2","OWN"," 60 months",18259.2261904762
2013,3,"5","OWN"," 36 months",9175
2013,4,"3","OWN"," 60 months",17914.371257485
2013,3,"6","MORTGAGE"," 36 months",11183.6538461538
2013,3,"1","OWN"," 60 months",18421.25
2014,3,"4","OWN"," 36 months",11121.286701209
2013,4,"5","MORTGAGE"," 36 months",11593.3288409704
2013,3,"6","OWN"," 36 months",8592.64705882353
2013,4,"5","OWN"," 36 months",9716.31355932203
2015,1,"4","RENT"," 60 months",18227.9311039484
2015,3,"4","RENT"," 36 months",10651.204017425
2015,1,"5","OWN"," 60 months",19584.7850678733
2013,4,"5","RENT"," 36 months",9055.76923076923
2013,4,"4","OWN"," 60 months",19660.3846153846
2015,3,"4","MORTGAGE"," 60 months",20967.7201704545
2014,2,"3","OWN"," 60 months",18488.6877828054
2014,4,"4","OWN"," 60 months",18770.6896551724
2014,2,"3","OWN"," 36 months",11251.9704433498
2015,1,"4","OWN"," 60 months",19413.0634390651
2015,1,"5","MORTGAGE"," 36 months",15740.616966581
2013,4,"1","RENT"," 60 months",15610
2013,4,"1","OWN"," 60 months",18583.3333333333
2013,4,"6","RENT"," 36 months",9286.74698795181
2014,1,"2","OWN"," 60 months",17155
2013,4,"6","MORTGAGE"," 36 months",12729.8611111111
2013,4,"6","OWN"," 36 months",11032.8947368421
2014,1,"3","OWN"," 60 months",18090.4011461318
2014,1,"5","OWN"," 60 months",19227.5735294118
2014,1,"5","OWN"," 36 months",10212.3563218391
2014,1,"3","OWN"," 36 months",12072.0588235294
2014,1,"6","RENT"," 36 months",9172.13302752294
2014,1,"6","RENT"," 60 months",18029.0666666667
2014,1,"6","MORTGAGE"," 60 months",21483.8035019455
2014,3,"5","OWN"," 36 months",9949.70930232558
2014,1,"4","OWN"," 60 months",19150.8333333333
2015,2,"4","OWN"," 36 months",12520.2440239044
2015,1,"6","RENT"," 36 months",9972.8021978022
2014,1,"1","MORTGAGE"," 60 months",15658.3333333333
2016,1,"3","OWN"," 60 months",19545.6565252202
2014,2,"5","MORTGAGE"," 36 months",10935.3678929766
2014,1,"6","MORTGAGE"," 36 months",11479.0584415584
2014,2,"4","OWN"," 36 months",10076.9271948608
2014,1,"6","OWN"," 60 months",19672.9797979798
2014,3,"2","OWN"," 60 months",19948.4472049689
2014,2,"6","MORTGAGE"," 36 months",8520.03205128205
2015,1,"3","OWN"," 36 months",11322.6942425936
2014,1,"6","OWN"," 36 months",10112
2015,2,"5","RENT"," 36 months",11530.4331013148
2014,2,"5","OWN"," 60 months",20837.2149837134
2014,3,"6","RENT"," 36 months",8093.18647540984
2015,1,"6","OWN"," 60 months",20980.8189655172
2014,2,"6","MORTGAGE"," 60 months",21672.484984985
2014,3,"1","MORTGAGE"," 60 months",17711.4583333333
2014,4,"5","RENT"," 36 months",10819.5833333333
2014,2,"6","OWN"," 60 months",19328.4768211921
2015,3,"3","OWN"," 60 months",19782.2351421189
2015,1,"2","OWN"," 60 months",20173.2365145228
2014,2,"5","RENT"," 36 months",8678.36593785961
2015,4,"4","MORTGAGE"," 60 months",21316.834038055
2014,2,"6","OWN"," 36 months",7840.30612244898
2014,2,"6","RENT"," 36 months",8119.93801652893
2014,4,"1","RENT"," 60 months",18419.623655914
2015,4,"4","OWN"," 60 months",19952.9252437703
2014,2,"5","OWN"," 36 months",9745.56451612903
2015,4,"2","RENT"," 60 months",18923.4819989253
2014,1,"1","OWN"," 60 months",13000
2015,3,"6","MORTGAGE"," 36 months",11588.5869565217
2015,1,"1","RENT"," 60 months",17693.359375
2014,4,"6","MORTGAGE"," 36 months",13550.2659574468
2015,4,"3","OWN"," 36 months",11654.1122004357
2014,2,"1","RENT"," 60 months",14485.7142857143
2014,2,"1","MORTGAGE"," 60 months",15195.5882352941
2014,4,"6","OWN"," 36 months",9536.27450980392
2016,1,"4","RENT"," 36 months",12002.9670577617
2016,1,"2","OWN"," 60 months",20824.3113772455
2014,2,"1","OWN"," 60 months",24500
2014,4,"6","OWN"," 60 months",20553.1094527363
2015,4,"6","RENT"," 60 months",20476.310772164
2014,3,"6","OWN"," 36 months",7596.39175257732
2015,4,"5","OWN"," 60 months",20421.8050065876
2014,4,"5","OWN"," 36 months",11312.1338912134
2014,4,"6","RENT"," 36 months",10135
2015,3,"4","RENT"," 60 months",18461.1351071182
2014,3,"1","RENT"," 60 months",18598.6111111111
2014,3,"1","OWN"," 60 months",15520
2015,4,"4","MORTGAGE"," 36 months",13909.0875589623
2016,1,"3","RENT"," 60 months",18840.5847436221
2016,1,"5","OWN"," 60 months",20859.4791666667
2015,1,"5","RENT"," 36 months",11755.7067812798
2014,4,"1","OWN"," 60 months",18727.9661016949
2015,4,"6","OWN"," 60 months",21199.2021276596
2015,3,"6","OWN"," 60 months",21740.4833836858
2015,4,"5","OWN"," 36 months",11936.2776025237
2015,1,"6","OWN"," 36 months",9609.21052631579
2015,1,"1","OWN"," 60 months",19505
2015,4,"2","OWN"," 60 months",20277.397260274
2015,3,"2","OWN"," 36 months",12894.2812982998
2015,2,"5","OWN"," 36 months",12802.8813559322
2015,2,"1","OWN"," 60 months",20739.0151515152
2015,2,"6","RENT"," 36 months",9916
2015,2,"6","OWN"," 60 months",20994.9312714777
2015,2,"6","MORTGAGE"," 36 months",13848.9035087719
2015,2,"6","OWN"," 36 months",10465.8163265306
2015,3,"5","OWN"," 60 months",20655.1799007444
2016,1,"3","OWN"," 36 months",13033.5164835165
2016,1,"4","OWN"," 36 months",13071.032649962
2015,3,"2","OWN"," 60 months",20347.2334682861
2015,3,"1","MORTGAGE"," 60 months",19834.5348837209
2015,3,"4","OWN"," 60 months",19821.5
2015,3,"1","RENT"," 60 months",18129.0268456376
2015,3,"1","OWN"," 60 months",19323.7179487179
2015,3,"5","MORTGAGE"," 36 months",14994.1991786448
2015,3,"6","RENT"," 36 months",9748.50427350427
2015,3,"5","OWN"," 36 months",13032.3076923077
2015,3,"6","OWN"," 36 months",11169.3333333333
2015,4,"6","MORTGAGE"," 60 months",22725.92
2016,1,"4","OWN"," 60 months",20467.5712347354
2015,4,"4","RENT"," 60 months",18942.6680547293
2015,4,"6","MORTGAGE"," 36 months",11162.9370629371
2015,4,"6","RENT"," 36 months",8645.07575757576
2015,4,"1","RENT"," 60 months",18026.912568306
2015,4,"6","OWN"," 36 months",8399.375
2015,4,"1","OWN"," 60 months",19786.1788617886
2016,1,"6","RENT"," 36 months",9751.16099071207
2016,1,"6","OWN"," 36 months",9814.76063829787
2016,1,"6","MORTGAGE"," 36 months",13934.7667638484
2016,1,"6","OWN"," 60 months",22003.6279683377
2016,1,"5","MORTGAGE"," 36 months",14511.8920032976
2016,1,"1","OWN"," 60 months",20104.0609137056
2016,1,"1","RENT"," 60 months",18903.3444816054
2016,1,"5","OWN"," 36 months",12197.4004424779
